"Freq [GHz]","L1 []"
1.8879,-365.617424203135
1.893325,-357.379683995651
1.89875,-349.519849945827
1.904175,-342.012380390688
1.9096,-334.833985192784
1.915025,-327.963382993167
1.92045,-321.381089207606
1.925875,-315.069230317222
1.9313,-309.011380725989
1.936725,-303.192419049219
1.94215,-297.598401185577
1.947575,-292.21644792949
1.953,-287.034645217109
1.958425,-282.041955379412
1.96385,-277.228138011039
1.969275,-272.583679260969
1.9747,-268.099728517472
1.980125,-263.768041600768
1.98555,-259.580929696067
1.990975,-255.531213361558
1.9964,-251.612181032454
2.001825,-247.81755151661
2.00725,-244.141440040753
2.012675,-240.578327461347
2.0181,-237.123032301119
2.023525,-233.770685313389
2.02895,-230.516706311456
2.034375,-227.356783031236
2.0398,-224.286851821983
2.045225,-221.303079983207
2.05065,-218.401849586429
2.056075,-215.579742638088
2.0615,-212.833527455706
2.066925,-210.160146143088
2.07235,-207.556703062524
2.077775,-205.020454212585
2.0832,-202.548797429617
2.088625,-200.139263339334
2.09405,-197.789506992376
2.099475,-195.497300124291
2.1049,-193.26052398617
2.110325,-191.077162697484
2.11575,-188.94529707729
2.121175,-186.863098914075
2.1266,-184.828825638317
2.132025,-182.840815365104
2.13745,-180.897482277166
2.142875,-178.997312321366
2.1483,-177.138859194093
2.153725,-175.320740593176
2.15915,-173.541634715921
2.164575,-171.800276984586
2.17,-170.095456982285
2.175425,-168.426015583676
2.18085,-166.790842266167
2.186275,-165.188872588509
2.1917,-163.61908582475
2.197125,-162.080502742489
2.20255,-160.572183515289
2.207975,-159.093225759855
2.2134,-157.642762689393
2.218825,-156.219961375197
2.22425,-154.824021109124
2.229675,-153.454171860216
2.2351,-152.109672819182
2.240525,-150.789811024991
2.24595,-149.493900068201
2.251375,-148.221278866077
2.2568,-146.971310504899
2.262225,-145.743381145205
2.26765,-144.536898986003
2.273075,-143.351293284297
2.2785,-142.186013426492
2.283925,-141.040528048506
2.28935,-139.914324201658
2.294775,-138.806906561536
2.3002,-137.717796677327
2.305625,-136.646532259181
2.31105,-135.592666501393
2.316475,-134.555767439333
2.3219,-133.535417338149
2.327325,-132.531212111449
2.33275,-131.542760768249
2.338175,-130.569684886607
2.3436,-129.611618112439
2.349025,-128.668205682134
2.35445,-127.739103967655
2.359875,-126.823980042894
2.3653,-125.922511270154
2.370725,-125.034384905638
2.37615,-124.159297722976
2.381575,-123.296955653806
2.387,-122.447073444519
2.392425,-121.609374328341
2.39785,-120.783589711937
2.403275,-119.969458875818
2.4087,-119.166728687811
2.414125,-118.375153328971
2.41955,-117.594494031289
2.424975,-116.824518826599
2.4304,-116.065002306155
2.435825,-115.315725390334
2.44125,-114.57647510797
2.446675,-113.847044384872
2.4521,-113.127231841055
2.457525,-112.416841596295
2.46295,-111.715683083589
2.468375,-111.02357087017
2.4738,-110.340324485694
2.479225,-109.665768257304
2.48465,-108.999731151209
2.490075,-108.342046620518
2.4955,-107.692552459018
2.500925,-107.051090660633
2.50635,-106.417507284317
2.511775,-105.791652324124
2.5172,-105.173379584235
2.522625,-104.562546558719
2.52805,-103.959014315819
2.533475,-103.362647386567
2.5389,-102.773313657539
2.544325,-102.190884267578
2.54975,-101.615233508303
2.555175,-101.046238728251
2.5606,-100.483780240499
2.566025,-99.9277412336138
2.57145,-99.3780076857991
2.576875,-98.834468282095
2.5823,-98.2970143345132
2.587725,-97.7655397049852
2.59315,-97.2399407310114
2.598575,-96.7201161538866
2.604,-96.205967049421
